target_variable,data_set_num,top_1_matched_variable,top_2_matched_variable,top_3_matched_variable,top_4_matched_variable,top_5_matched_variable
Total population,DS_1,STATE,COUNTY,NAME,FAVAL850,FAVAL860
Total population,DS_2,TOTPOP,CROPO,FILE,MD,IA
Total population,DS_3,FILE,MD,IA,STATE,COUNTY
Total population,DS_4,SLHTOT,SLAVES,FILE,MD,IA
Total population,DS_5,TOTPOP,FARMS,FILE,STATE,COUNTY
Total population,DS_6,TOTPOP,FARMS,FARMS2,FILE,STATE
Total population,DS_7,TOTPOP,SHEEP,CATTLE,FARMS,FARMS2
Total population,DS_8,TOTPOP,FARMS,FARMS2,ACFARM,TFARMHOM
Total population,DS_9,TOTPOP,TOTPOP00,TOTPOP2,TOTPOP3,FARMS
Total population,DS_10,TOTPOP,VAR1,VAR18,VAR56,VAR63
Total population,DS_11,TOTPOP,VAR1,VAR18,VAR56,VAR63
Total population,DS_12,VAR1,VAR336,VAR351,VAR366,VAR381
Total population,DS_13,VAR1,VAR1071,VAR25,VAR235,VAR1109
Total population,DS_14,VAR1500,VAR1522,VAR1653,VAR1755,VAR1662
Total population,DS_15,VAR1,VAR199,VAR239,VAR244,VAR238
Total population,DS_16,VAR1,VAR3,VAR2,VAR1382,VAR1384
Total population,DS_17,VAR2000,VAR2001,VAR2161,VAR2162,VAR2021
Total population,DS_18,VAR1,VAR3,VAR2000,VAR2001,VAR2
Total population,DS_19,VAR2500,VAR2502,VAR2501,VAR2589,VAR2568
Total population,DS_20,TOTPOP40,VAR1,VAR61,VAR64,VAR32
Total population,DS_21,TOTPOP,VAR43,VAR47,VAR42,VAR45
Total population,DS_22,ITEM001,ITEM005,ITEM013,ITEM030,ITEM801
Total population,DS_23,POVERTY,VAR275,VAR482,VAR489,FILE
Total population,DS_24,VAR1,I,II,STATE,COUNTY
Total population,DS_25,TOTPOP50,TOTPOP40,VAR45,VAR49,VAR44
Total population,DS_26,ITEM001,ITEM005,ITEM013,ITEM030,ITEM801
Total population,DS_27,TOTPOP60,TOTPOP50,VAR149,VAR50,VAR52
Total population,DS_28,ITEM001,ITEM005,ITEM013,ITEM030,ITEM801
Total population,DS_29,POVERTY,VAR275,VAR482,VAR489,FILE
Total population,DS_30,TOTPOP60,TOTPOP50,VAR46,VAR105,VAR47
Total population,DS_31,ITEM005,ITEM013,ITEM001,ITEM030,ITEM801
Total population,DS_32,POVERTY,VAR275,VAR482,VAR489,FILE
Total population,DS_33,ITEM01031,ITEM01032,ITEM01035,ITEM01036,ITEM01052
Total population,DS_34,ITEM01031,ITEM01032,ITEM01035,ITEM01036,ITEM01052
Total population,DS_35,ITEM005,ITEM013,ITEM001,ITEM030,ITEM801
Total population,DS_36,ITEM01031,ITEM01032,ITEM01035,ITEM01036,ITEM01052
Total population,DS_37,ITEM01031,ITEM01032,ITEM01035,ITEM01036,ITEM01052
Total population,DS_38,ITEM005,ITEM013,ITEM001,ITEM030,ITEM801
Total population,DS_39,ITEM01013,ITEM01014,ITEM05032,ITEM05033,ITEM05048
Total population,DS_40,ITEM01013,ITEM01014,ITEM05032,ITEM05033,ITEM05048
Total population,DS_41,ITEM01013,ITEM01014,ITEM05032,ITEM05033,ITEM05048
Total population,DS_42,ITEM010013,ITEM010014,ITEM060044,ITEM060045,ITEM060060
Total population,DS_43,ITEM01014,ITEM01015,ITEM06044,ITEM06045,ITEM06060
Total population,DS_44,ITEM01014,ITEM01015,ITEM51001,ITEM01016,ITEM01017
Total population,DS_45,FILE,DC,STATE,COUNTY,NAME
Total population,DS_46,STATEICP,COUNTYICP,NAME,LEVEL,STATEFIP
"Farms, number",DS_1,FAVAL850,FAVAL860,FAVAL870,FAVAL880,FAVAL890
"Farms, number",DS_2,FILE,MD,IA,STATE,COUNTY
"Farms, number",DS_3,FARMS,ACIMP,ACUNIMP,FARMVAL,FILE
"Farms, number",DS_4,FARM39,FARM1019,FARM2049,FARM5099,FARM100
"Farms, number",DS_5,FARMS,FARM02,FARM39,FARM1019,FARM2049
"Farms, number",DS_6,FARMS,FARMOWN,FARMS2,ACRES,FARM02
"Farms, number",DS_7,FARMS,FARMS2,ACIMP,ACUNIMP,FARM09
"Farms, number",DS_8,FARMS,FARMOWN,FARMS2,FARM12,FARM39
"Farms, number",DS_9,FARMS,FARMS00,FARMS2,IRRFARMS,IRRFARMS99
"Farms, number",DS_10,VAR1,VAR315,VAR437,VAR438,VAR440
"Farms, number",DS_11,VAR1,VAR359,VAR481,VAR482,VAR484
"Farms, number",DS_12,VAR2,VAR14,VAR23,VAR32,VAR4
"Farms, number",DS_13,VAR2,VAR3,VAR1109,VAR5,VAR40
"Farms, number",DS_14,VAR1501,VAR1587,VAR2046,VAR1600,VAR2042
"Farms, number",DS_15,VAR2,VAR3,VAR4,VAR200,VAR7
"Farms, number",DS_16,VAR4,VAR493,VAR111,VAR112,VAR114
"Farms, number",DS_17,VAR2161,VAR2162,VAR2164,VAR2165,VAR2235
"Farms, number",DS_18,VAR4,VAR493,VAR2161,VAR2162,VAR2164
"Farms, number",DS_19,VAR2607,VAR2505,VAR2506,VAR2675,VAR2503
"Farms, number",DS_20,VAR746,VAR525,VAR527,VAR666,VAR54
"Farms, number",DS_21,VAR1,VAR57,VAR99,VAR1546,VAR1547
"Farms, number",DS_22,ITEM004,ITEM005,ITEM006,ITEM007,ITEM012
